COMPONENT_ID,sponsor_name
P-1436-67064,Steve Forbes
P-1361-63305,Steve Michael
P-1190-35279,Unknown
P-1791-92885,Unknown
P-1905-108593,Unknown
P-1817-102732,Unknown
P-1625-82561,Unknown
P-1624-82555,Unknown
P-1084-46261,Unknown
P-1631-83524,Unknown
P-1905-108583,Unknown
P-12-226,Unknown
P-1654-84438,Unknown
P-1624-82550,Unknown
P-1084-45621,Unknown
P1084-45258,Unknown
P-1708-90180,Walter F. Mondale
P-290-14273,Walter F. Mondale
P-43-2106,Walter F. Mondale
P-1183-51840,Walter F. Mondale
P-1772-101699,Walter F. Mondale
P-1069-44262,Walter F. Mondale
P-1268-35052,Walter F. Mondale
P-456-95440,Wesley Clark
P-2122-141969,Mitt Romney
P-2116-141528,Mitt Romney
P-2122-141970,Mitt Romney
P-2125-142151,Mitt Romney
P-603-114575,Mitt Romney
P-2060-138621,Mitt Romney
P-2079-139464,Mitt Romney
P-2098-140436,Mitt Romney
P-2026-136930,Mitt Romney
P-2122-141976,Mitt Romney
P-1083-45226,Bill Clinton
P-1083-45195,Bill Clinton
P-1416-68257,Bill Clinton
P-1414-68133,Bill Clinton
P-1264-59480,Bill Clinton
P-1153-49981,Bill Clinton
P-1411-68103,Bill Clinton
P-1415-68236,Bill Clinton
P-1415-68189,Bill Clinton
P-1415-68229,Bill Clinton
P-1415-68241,Bill Clinton
P-1083-45217,Bill Clinton
P-1416-68247,Bill Clinton
P-1391-68006,Bill Clinton
P-1414-68166,Bill Clinton
